Código;Índice;Descricao;jan/02;fev/02;mar/02;abr/02;mai/02;jun/02;jul/02;ago/02;set/02;out/02;nov/02;dez/02;jan/03;fev/03;mar/03;abr/03;mai/03;jun/03;jul/03;ago/03;set/03;out/03;nov/03;dez/03;jan/04;fev/04;mar/04;abr/04;mai/04;jun/04;jul/04;ago/04;set/04;out/04;nov/04;dez/04;jan/05;fev/05;mar/05;abr/05;mai/05;jun/05;jul/05;ago/05;set/05;out/05;nov/05;dez/05;jan/06;fev/06;mar/06;abr/06;mai/06;jun/06;jul/06;ago/06;set/06;out/06;nov/06;dez/06;jan/07;fev/07;mar/07;abr/07;mai/07;jun/07;jul/07;ago/07;set/07;out/07;nov/07;dez/07;jan/08;fev/08;mar/08;abr/08;mai/08;jun/08;jul/08;ago/08;set/08;out/08;nov/08;dez/08;jan/09;fev/09;mar/09;abr/09;mai/09;jun/09;jul/09;ago/09;set/09;out/09;nov/09;dez/09;jan/10;fev/10;mar/10;abr/10;mai/10;jun/10;jul/10;ago/10;set/10;out/10;nov/10;dez/10;jan/11;fev/11;mar/11;abr/11;mai/11;jun/11;jul/11;ago/11;set/11;out/11;nov/11;dez/11;jan/12;fev/12;mar/12;abr/12;mai/12;jun/12;jul/12;ago/12;set/12;out/12;nov/12;dez/12;jan/13;fev/13;mar/13;abr/13;mai/13;jun/13;jul/13;ago/13;set/13;out/13;nov/13;dez/13;jan/14;fev/14;mar/14;abr/14;mai/14;jun/14;jul/14;ago/14;set/14;out/14;nov/14;dez/14;jan/15;fev/15;mar/15;abr/15
ST_1217141;INCC-EP-DI;Aço_(Ca-50_e_Ca-60);1,157524109;0,641616821;0,322792053;-0,08290863;0,386955261;-0,079910278;0,363754272;2,892745972;3,902557373;4,135910034;7,449806213;6,866859436;3,336631775;1,469398499;1,237297058;8,18686676;2,181983948;0,266471863;0,41028595;0,001312256;0,185752869;0,112281799;0,270721436;0,274124146;0,300285339;0,674102783;2,874282837;4,928924561;5,446159363;0,900184631;2,36403656;7,760658264;2,008880615;6,904312134;2,510452271;0,681877136;0,67755127;0,119651794;0,008331299;0,714508057;-0,26776886;0,146820068;-0,309051514;-0,729850769;-0,058074951;-0,093688965;-0,224075317;0,050201416;-0,19883728;-0,166252136;-1,938110352;-1,098869324;-0,092437744;-0,250473022;-0,178153992;0,054885864;0,034568787;0,131286621;0,04940033;0,194290161;0,018188477;0,00415802;0,030067444;1,225257874;1,434288025;0,41544342;0,295425415;-0,751022339;0,35055542;0,417900085;0,272521973;0,113586426;0,154754639;2,589820862;3,193687439;1,522209167;5,746711731;5,617233276;6,015869141;10,35569;3,97013092;1,091094971;-0,562057495;-0,664611816;-1,286308289;-0,374313354;-2,827560425;-3,074829102;-1,741996765;-0,507362366;-2,510452271;-2,018501282;-1,731262207;-0,771690369;-0,365722656;0,053871155;0,048080444;0,537361145;-0,373306274;-1,302215576;-0,518295288;2,754386902;1,235946655;-0,636329651;-0,819122314;-2,980812073;-2,127151489;-1,943023682;-1,20111084;1,393386841;2,521858215;0,393554688;-0,062980652;0,079727173;-0,321357727;-0,916000366;0,112068176;0,636314392;0,047706604;-0,40385437;0,577163696;1,619163513;1,195510864;0,367019653;-0,282951355;1,161994934;3,922775269;0,627120972;0,156356812;0,02494812;-0,095214844;-0,011772156;0,031303406;-0,172019958;1,209869385;0,795814514;3,439102173;0,022148132;0,047859192;2,317405701;4,66469574;0,297996521;-0,001373291;0,11592865;-0,008239746;-0,479980469;1,662132263;2,597167969;0,405883789;-0,034866333;0,468254089;-0,294944763;-0,431350708;-0,343940735;-0,460479736;0,000488281;0,505851746;-0,570823669;0,288978577;-0,107505798
ST_1217723;INCC-EP-DI;Aduela_e_Alizar_de_Madeira;0,332580566;-0,201408386;0,263824463;0,231185913;0,951042175;0,435913086;0,443244934;1,132217407;0,652206421;1,151367188;3,125823975;2,922309875;3,628990173;1,101600647;1,812812805;1,800361633;2,165603638;1,126350403;0,665924072;1,002586365;0,938430786;1,168884277;0,270233154;0,272216797;0,388214111;1,787498474;2,240623474;0,52835083;2,888572693;0,857200623;2,201797485;1,113845825;0,780662537;2,125968933;1,516235352;0,880897522;1,07169342;1,479698181;0,240791321;1,096961975;0,790527344;0,092971802;1,420127869;2,245857239;-0,831817627;1,156738281;0,81136322;0,29624939;0,960800171;0,366119385;0,519958496;-0,121749878;0,618110657;0,6354599;0,405502319;0,428268433;0,493095398;0,196876526;0,434745789;0,84690094;0,487113953;0,258552551;0,52973175;0,539756775;0,903823853;0,433227539;0,289665222;0,185668945;0,373603821;0,980743408;0,520385742;0,813186646;0,227806091;0,804756165;0,636543274;1,337516785;0,987716675;1,361679077;2,129745483;1,479446411;1,283576965;1,776435852;1,908813477;0,902770996;1,1277771;1,133155823;0,712654114;0,25579834;0,318382263;0,763252258;0,715652466;0,277923584;0,284103394;0,104904175;0,311851501;-0,38028717;0,317886353;0,239707947;0,299957275;0,982627869;0,626548767;0,474212646;0,105522156;0,37689209;0,016487122;0,234313965;0,326454163;0,423721313;0,526222229;0,450469971;0,425186157;0,847183228;0,413276672;-0,002304077;0,180992126;0,290527344;0,616264343;0,529136658;0,553215027;0,016662598;1,49710083;0,593360901;0,430717468;0,306282043;0,483856201;0,553527832;0,498306274;0,434318542;0,762107849;0,1483078;0,170776367;0,021873474;0,373550415;0,501159668;0,703140259;-0,243858337;0,948143005;0,101867676;0,168869019;-0,017288208;0,712905884;0,436309814;1,234375;1,186195374;0,484596252;0,575683594;0,588523865;0,593208313;0,909980774;-0,177330017;0,174865723;0,134422302;0,762107849;0,433876038;0,859199524;-0,233772278;0,702270508;0,743461609;0,690338135;0,439193726
ST_1248335;INCC-EP-DI;Ajudante_Especializado;0;0,686515808;0,741828918;0,354194641;4,719924927;0,667510986;0;0,700340271;0;0,433815002;0,778686523;0;0;1,018096924;1,006523132;0;5,198669434;1,825889587;1,419052124;2,75769043;0,113212585;0,951347351;1,797737122;0;0;0,963798523;0,913284302;0;2,076599121;0,579322815;0,969985962;0;0;0,27432251;0;0,231918335;0,604370117;0;0,542556763;0,822380066;4,14365387;1,41292572;0,126197815;0;0,176559448;0;0,236663818;0,535461426;0;0,029602051;0,30355835;0,692024231;2,177177429;1,625930786;0,893928528;0,151016235;0,031959534;0,035903931;0,104309082;0,19619751;0,290428162;0,006446838;0,447341919;0,369979858;1,773857117;1,563644409;0,076446533;0,267051697;0,223312378;0,145385742;0,131698608;0,912765503;0,063537598;0;0,358459473;0,851699829;2,092315674;2,317131042;1,42552948;0,046447754;0,382530212;0,118240356;-0,178215027;0;0,325866699;0,179481506;0,040184021;0,873565674;3,049942017;1,967147827;0,612976074;0,132156372;0,081100464;0;0,391578674;-0,290473938;0,746879578;0,214752197;1,067314148;1,077781677;2,508071899;1,75793457;0,393463135;0,071266174;0;0,154769897;0,599761963;1,347328186;0;0;0,476364136;1,74634552;5,111846924;0,413131714;0,44581604;0,032699585;0;0,240493774;1,366783142;0;1,317619324;0,047592163;0,65788269;0,941955566;2,95602417;1,264144897;0,943611145;0,184677124;0;0,018478394;0,46194458;0,07749939;0,442588806;0,84147644;0,568649292;1,019836426;3,096328735;2,140441895;0,542655945;2,29E-05;0;0;0,514900208;1,53E-05;1,05632782;0,048683167;0;1,145263672;4,383995056;1,204750061;1,114715576;0;0;0;0,493812561;0;0,833251953;0,135818481;0,6692276;0,060974121
ST_1216172;INCC-EP-DI;Alugueis_e_Licenciamento;0,333251953;0,426948547;0,396217346;0,45324707;0,399505615;0,739273071;1,167617798;0,704216003;0,200912476;0,552619934;1,590873718;0,864746094;0,961517334;1,316917419;2,194747925;1,429222107;0,366821289;0,669013977;0,703468323;-0,200805664;0,313529968;0,293006897;0,450263977;0,281814575;0,426803589;0,578308105;0,809715271;-0,267410278;0,587379456;0,299690247;0,54397583;0,265296936;0,625816345;0,597213745;0,348602295;0,179138184;0,568222046;0,743255615;0,398979187;0,451591492;0,800933838;0,600387573;0,413368225;0,465286255;0,825904846;0,836074829;0,743354797;0,431648254;0,708366394;0,219535828;1,302322388;1,257392883;0,230941772;0,527191162;0,680099487;0,207839966;0,297821045;0,304290771;0,116767883;0,034477234;0,739273071;0,457038879;0,611404419;0,540565491;0,284934998;0,736442566;0,552497864;0,89263916;1,624038696;0,532363892;0,333892822;0,378082275;0,830116272;0,380622864;0,150527954;0,589668274;0,743080139;1,390838623;0,654808044;1,010513306;0,709793091;0,374839783;1,247215271;0,775680542;0,439033508;0,161026001;-0,010932922;0,171066284;0,669113159;0,070167542;0,475227356;0,341117859;0,139938354;0,319519043;0,298118591;0,280090332;1,037475586;0,300643921;0,688240051;0,30153656;0,385513306;0,50983429;0,194129944;0,44670105;0,241256714;0,261581421;0,273658752;0,017593384;1,814826965;0,432731628;0,173187256;0,217926025;0,714302063;0,355384827;0,172233582;0,165977478;0,160362244;0,022903442;0,150848389;-0,046157837;1,547386169;0,023399353;0,084411621;0,060890198;0,315818787;0,166358948;-0,031593323;0,16758728;0,229011536;0,217521667;0,377761841;0,096260071;1,391921997;0,293258667;0,047317505;-0,084449768;0,264312744;-0,139251709;0,377700806;0,146377563;-0,246086121;0,034240723;-0,061149597;0,040527344;1,355873108;0,782073975;0,138130188;0,087776184;0,061294556;0,059295654;0,114891052;0,034927368;0,087211609;0,214004517;0,023803711;0,073692322;1,138092041;0,317260742;0,310386658;0,142578125
ST_1218305;INCC-EP-DI;Aluguel_de_Máquinas_e_Equipamentos;0,263404846;-0,133338928;0,624610901;0,197067261;0,089622498;0,384178162;0,243667603;0,311485291;0,040184021;0,31665802;1,554977417;0,418869019;0,569618225;1,931259155;2,770721436;1,923522949;0,181900024;0,796928406;0,82611084;0,054672241;-0,046386719;-0,206367493;0,051200867;0,242218018;0,193336487;0,373687744;0,995292664;0,194786072;0,154685974;0,288833618;0,302711487;-0,115104675;0,856269836;0,997566223;0,245574951;0,166366577;0,895843506;0,41129303;0,321815491;0,415908813;0,654434204;0,686279297;0,297355652;0,70954895;1,00151062;0,211044312;1,198577881;0,420532227;0,52255249;0,057685852;0,277160645;0,865898132;0,18850708;0,411605835;0,748733521;0,302330017;0,388870239;0,422523499;-0,06325531;0,118255615;0,391769409;0,701126099;0,506462097;0,687705994;0,464416504;0,538444519;0,281867981;0,895271301;0,592170715;0,2576828;0,154266357;0,343811035;0,88079834;0,174377441;0,267120361;0,561592102;0,850227356;1,013824463;0,77003479;1,197013855;1,011398315;0,616333008;1,104988098;0,620559692;0,024536133;0,430999756;-0,074661255;0,220275879;0,416854858;0,030090332;0,396690369;0,407699585;0,146034241;0,403007507;0,105010986;0,153419495;0,337471008;0,118621826;0,684318542;0,333595276;0,565170288;0,615753174;0,251373291;0,588264465;0,138710022;0,422607422;0,313423157;-0,058280945;0,245834351;0,477241516;0,190185547;0,127426147;1,034614563;0,443557739;0,267562866;0,183334351;0,204528809;-0,076225281;-0,024398804;-0,115150452;0,028671265;-0,053871155;0,085235596;0,091972351;0,453529358;0,220870972;-0,094070435;0,192474365;0,302505493;0,305541992;0,622215271;0,088356018;-0,056259155;0,216629028;-0,051490784;-0,164505005;0,368759155;-0,241508484;0,588539124;0,206054688;-0,454803467;0,012031555;-0,16557312;0,013626099;-0,009414673;0,321472168;0,03062439;0,087440491;0,091461182;-0,031196594;0,116622925;0,043403625;0,132011414;0,343551636;-0,036598206;0,020828247;0,186706543;0,094856262;0,159645081;0,193145752
ST_1248917;INCC-EP-DI;Apontador;0;0,767837524;0,7579422;0,359344482;4,640319824;0,847862244;0;0,457588196;0;0,480064392;0,792785645;0;0;1,139961243;0,999687195;0;5,475601196;1,85786438;1,204597473;2,789131165;0,09098053;1,212142944;1,774391174;0;0;1,084838867;0,942573547;0;2,093589783;0,554588318;0,824714661;0;0;0,32509613;0;0,235725403;0,608528137;0;0,606063843;0,769386292;4,201911926;1,324066162;0,141082764;0;0,141143799;0;0,266670227;0,559555054;0;0,023651123;0,39112854;0,39793396;2,743659973;1,110031128;0,653717041;0,124397278;0,019332886;0,029075623;0,125061035;0,324234009;0,195098877;0,000747681;0,317970276;0,436759949;1,89087677;1,624359131;0,358024597;0,105583191;0,342262268;0,171836853;0,125267029;0,301086426;0,1195755;-0,062591553;0,26247406;0,719985962;2,187072754;3,215515137;1,064575195;0,063720703;0,314903259;0,09274292;0,392974854;0;0,162139893;0,167831421;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ST_1243571;INCC-EP-DI;Aquecedor;1,730934143;0,498733521;0,990501404;-0,039985657;0,04221344;-0,513015747;0,838493347;0,176322937;1,86038208;0,853286743;2,435371399;0,584999084;0,724586487;2,715942383;0,592506409;2,422904968;-1,736656189;-0,056808472;-0,127609253;-0,026664734;0,021278381;2,128517151;-0,461402893;0,168502808;0,17124176;3,236701965;0,25050354;1,104530334;-0,143722534;0,08821106;1,514122009;0,304618835;0,728401184;0,056121826;2,168190002;0,115791321;1,59312439;0,697685242;0,097564697;0,503265381;0,143028259;0,135505676;-0,305404663;0,210212708;-0,373382568;0,321372986;0,193939209;-0,117301941;-0,205734253;0,081459045;-0,482673645;-0,167472839;0,021621704;-0,346443176;0,793121338;0,016281128;0,392578125;0,259765625;-0,476547241;0,43813324;0,508590698;0,104164124;0,447227478;0,055023193;0,283691406;-0,354988098;-0,052688599;0,818649292;0,162185669;-0,102165222;0,135192871;-0,060142517;0,224975586;0,377944946;0,068687439;-0,31124115;0,52796936;0,266555786;0,224304199;0,543296814;0,635635376;1,028419495;0,07585144;0,508537292;0,525047302;0,080848694;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ST_1218887;INCC-EP-DI;Areia_Lavada;0,81778717;0,486198425;0,477096558;0,727775574;1,370704651;0,450965881;0,896682739;1,14654541;0,74155426;0,837837219;4,975654602;4,530227661;3,664382935;1,763702393;0,355354309;0,552963257;0,498893738;0,205574036;0,522659302;-0,137268066;-0,124099731;-0,152954102;0,007125854;0,015213013;0,753570557;0,771392822;1,254203796;0,946380615;0,41834259;-0,026679993;1,799079895;0,729774475;0,800537109;0,816520691;1,525566101;1,77645874;2,011810303;1,077056885;1,813056946;0,837280273;0,148094177;0,633361816;0,00592804;1,265777588;1,624824524;1,079322815;0,579833984;0,529388428;1,571655273;1,003692627;0,248321533;0,664779663;1,063262939;0,942718506;1,535293579;0,394203186;0,424453735;0,361480713;1,250564575;0,662162781;0,762954712;0,223609924;1,228546143;0,679138184;0,484703064;0,207695007;0,869026184;0,258636475;1,051239014;2,466239929;0,736701965;0,679145813;0,598014832;0,928390503;1,209190369;0,210365295;3,940704346;3,861763;1,840362549;2,791236877;2,189956665;1,695861816;0,890304565;0,307380676;0,71723175;0,179840088;0,383163452;0,215194702;0,180099487;-0,096115112;0,150848389;0,068977356;0,460670471;0,087142944;0,447380066;0,157836914;0,599624634;0,493774414;0,706115723;1,15348053;0,0650177;1,691184998;1,591072083;1,773788452;1,253486633;1,118972778;0,726608276;0,486442566;0,586990356;0,99546051;0,146850586;0,435112;0,880752563;0,033248901;0,270484924;0,617706299;-0,088348389;0,375259399;0,395271301;-0,060050964;0,767501831;0,839958191;0,148178101;0,233695984;0,754058838;0,153823853;0,142097473;0,440231323;0,258377075;0,23752594;0,08405304;0,036148071;-0,040222168;0,339935303;0,833488464;0,416687012;0,241172791;5,287788391;1,490402222;1,008918762;0,755401611;-2,102798462;-0,155197144;0,100311279;-0,05847168;0,576957703;0,600257874;0,382041931;0,266204834;0,399528503;0,496269226;0,290618896;-0,192260742;1,493774414;0,683853149;0,189926147;0,715080261;1,090263367;1,061500549;0,404067993
ST_1246139;INCC-EP-DI;Argamassa;-0,843986511;0,37399292;0,100257874;0,493515015;0,012382507;-0,186759949;-0,348373413;-0,171669006;0,533363342;0,1485672;1,097442627;-0,18069458;0,32333374;0,167938232;0,389419556;0,794448853;0,211425781;-0,493728638;0,421592712;0,605415344;0,31855011;0,128593445;0,583374023;-0,122673035;0,14717865;0,07485199;0,315177917;0,88180542;0,251960754;0,278152466;-0,036964417;0,61769104;1,563156128;-0,406059265;0,214767456;0,222869873;0,005592346;1,35358429;0,10333252;0,548660278;-0,077362061;0,95401001;0,930557251;0,265518188;0,128173828;-0,097564697;1,010528564;0,259590149;-0,06502533;0,467811584;-0,283828735;2,772781372;0,832893372;0,981010437;0,987693787;-0,23273468;0,558517456;0,65058136;0,24848175;0,967880249;0,79133606;0,753463745;0,198173523;-0,013824463;1,2733078;0,493934631;0,624176025;0,195266724;0,479423523;0,047920227;1,211860657;0,941764832;1,128913879;0,873184204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ST_1249499;INCC-EP-DI;Armador;0;0,76738739;0,889816284;0,330856323;4,696037292;0,784011841;0;0,477180481;0;0,470352173;0,813064575;0;0;1,130355835;1,099822998;0;5,463134766;1,716087341;1,245727539;2,91607666;0,091911316;1,134147644;1,77256012;0;0;1,053062439;1,022422791;0;2,18334198;0,494560242;0,896392822;0;0;0,309539795;0;0,215324402;0,620864868;0;0,599205017;0,897071838;4,22693634;1,339385986;0,139305115;0;0,141906738;0;0,285873413;0,586853027;0;0,029083252;0,372001648;0,392364502;2,494621277;1,123512268;0,629379272;0,080169678;0,017715454;0,0389328;0,114952087;0,243087769;0,297225952;0,002609253;0,305152893;0,481887817;1,829551697;2,212036133;0,119613647;0,134147644;0,265350342;0,20565033;0,133811951;0,502029419;0,220848083;0,003448486;0,293037415;0,980865479;2,695167542;2,209320068;0,948860168;0,084152222;0,188148499;0,09312439;0,42868042;0;0,211647034;0,221321106;0,115097046;0,461601257;3,549850464;1,116027832;0,719665527;0,145851135;0,142410278;0,056373596;0,408760071;0,05355072;0,819442749;0,076187134;1,066062927;1,196266174;3,742668152;0,706039429;0,312889099;-0,012336731;0;0,223564148;0,482849121;1,181625366;0;0,08744812;0,373420715;1,833114624;5,150520325;0,307830811;0,587997437;0;0;0,040290833;1,126754761;0,071380615;1,252510071;0;0,928352356;1,109634399;3,570152283;0,628158569;0,524032593;0,171867371;0;0;0,48374176;0,123199463;0,658843994;0,696632385;0,581726074;1,051856995;4,198440552;1,549026489;0,397766113;1,53E-05;0;0;0,510345459;0;1,201416016;0,061431885;0;1,231323242;3,621627808;0,304397583;1,020851135;0;0;0;0,513565063;0;0,943634033;0,247764587;0,580581665;0,047149658
